mc,mn,quarterbeats,quarterbeats_all_endings,duration_qb,mc_onset,mn_onset,timesig,staff,voice,duration,nominal_duration,scalar,tied,tpc,midi,name,octave,chord_id,color,time,dur,player,capped,conflicting
16,16,227/3,227/3,0.3333333333333333,5/12,5/12,4/4,1,1,1/12,1/8,2/3,,4,76,E5,5,159,,30.91666666666668,0,2,False,False
16,16,76,76,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,4,40,E2,2,166,,31.083333333333346,0,1,True,False
16,16,76,76,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,1,43,G2,2,166,,31.083333333333346,0,3,True,False
16,16,229/3,229/3,0.3333333333333333,7/12,7/12,4/4,1,1,1/12,1/8,2/3,,4,76,E5,5,160,,31.250000000000014,0,2,False,False
16,16,230/3,230/3,0.3333333333333333,2/3,2/3,4/4,1,1,1/12,1/8,2/3,,4,76,E5,5,161,,31.416666666666682,0,2,False,False
16,16,77,77,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,4,40,E2,2,167,,31.58333333333335,0,1,True,False
16,16,77,77,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,1,43,G2,2,167,,31.58333333333335,0,3,True,False
16,16,77,77,0.6666666666666666,3/4,3/4,4/4,1,1,1/6,1/4,2/3,,2,62,D4,4,162,,31.58333333333335,0,1,False,False
16,16,233/3,233/3,0.3333333333333333,11/12,11/12,4/4,1,1,1/12,1/8,2/3,,3,69,A4,4,163,,31.916666666666682,0,0,False,False
17,17,78,78,1.0,0,0,4/4,2,1,1/4,1/4,1,,0,48,C3,3,173,,32.08333333333335,0,0,True,False
17,17,236/3,236/3,0.3333333333333333,1/6,1/6,4/4,1,1,1/12,1/8,2/3,,3,69,A4,4,168,,32.416666666666686,0,0,False,False
17,17,79,79,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,0,48,C3,3,174,,32.58333333333335,0,0,True,False
17,17,239/3,239/3,0.3333333333333333,5/12,5/12,4/4,1,1,1/12,1/8,2/3,,5,71,B4,4,169,,32.916666666666686,0,2,False,False
17,17,80,80,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,0,48,C3,3,175,,33.08333333333335,0,0,True,False
